FBgn0010339 	128UP_DROME
FBgn0020238 	1433E_DROME
FBgn0004907 	1433Z_DROME
FBgn0010340 	140U_DROME
FBgn0027624 	ENV17_DROME
FBgn0044339 	GAG17_DROME
FBgn0014453 	POL3_DROME
FBgn0027623 	ENV2_DROME
FBgn0044338 	GAG2_DROME
FBgn0027622 	POL2_DROME
FBgn0043847 	POL4_DROME
FBgn0004168 	5HT2A_DROME
FBgn0263116 	5HT2B_DROME
FBgn0004573 	5HT1R_DROME
FBgn0011294 	OBA5_DROME
FBgn0023130 	A6_DROME
FBgn0011293 	OB10_DROME
FBgn0027885 	API5_DROME
FBgn0031851 	AATF_DROME
FBgn0027094 	SYAC_DROME
FBgn0028962 	SYAM_DROME
FBgn0027093 	SYRC_DROME
FBgn0027091 	SYCC_DROME
FBgn0027090 	SYQ_DROME
FBgn0005674 	SYEP_DROME
FBgn0027083 	SYMM_DROME
FBgn0275436 	SYFM_DROME
FBgn0035064 	SYYM_DROME
FBgn0023129 	SERB_DROME
FBgn0264442 	ABRU_DROME
FBgn0000014 	ABDA_DROME
FBgn0000015 	ABDB_DROME
FBgn0000017 	ABL_DROME
FBgn0036372 	DBNL_DROME
FBgn0015331 	DDX41_DROME
FBgn0000022 	AST5_DROME
FBgn0004852 	ADCY2_DROME
FBgn0011273 	CALL_DROME
FBgn0012034 	ACSA_DROME
FBgn0000024 	ACES_DROME
FBgn0016122 	ACER_DROME
FBgn0000028 	IPOU_DROME
FBgn0014454 	CUA1_DROME
FBgn0002855 	MS2A_DROME
FBgn0002856 	MS2B_DROME
FBgn0015583 	A29AB_DROME
FBgn0023415 	A32CD_DROME
FBgn0267327 	A33A_DROME
FBgn0011559 	A36DE_DROME
FBgn0015584 	A53E_DROME
FBgn0020509 	A62F_DROME
FBgn0015585 	A63F_DROME
FBgn0015586 	A76A_DROME
FBgn0002863 	A95EF_DROME
FBgn0263597 	A98AB_DROME
FBgn0000042 	ACT1_DROME
FBgn0000043 	ACT2_DROME
FBgn0000044 	ACT3_DROME
FBgn0000045 	ACT4_DROME
FBgn0000046 	ACT5_DROME
FBgn0000047 	ACT6_DROME
FBgn0024913 	INHB_DROME
FBgn0000667 	ACTN_DROME
FBgn0025115 	ACYP1_DROME
FBgn0038363 	ACYP2_DROME
FBgn0037661 	ADAL_DROME
FBgn0037555 	TAD2B_DROME
FBgn0027619 	EIF3J_DROME
FBgn0026086 	ADAR_DROME
FBgn0028658 	ADAT1_DROME
FBgn0000052 	PUR4_DROME
FBgn0000053 	PUR2_DROME
FBgn0020513 	PUR6_DROME
FBgn0000054 	ADF1_DROME
FBgn0000055 	ADH_DROME
FBgn0000056 	ADHR_DROME
FBgn0052068 	MTND_DROME
FBgn0038984 	ADRL_DROME
FBgn0283494 	KAD2_DROME
FBgn0027493 	PURA_DROME
FBgn0005694 	AEF1_DROME
FBgn0026309 	CMTR2_DROME
FBgn0041171 	FBXW7_DROME
FBgn0087035 	AGO2_DROME
FBgn0250816 	AGO3_DROME
FBgn0014455 	SAHH_DROME
FBgn0015011 	SAHH2_DROME
FBgn0031392 	AIFM1_DROME
FBgn0033754 	KAD6_DROME
FBgn0004552 	AKH_DROME
FBgn0082598 	AKIRN_DROME
FBgn0010379 	AKT1_DROME
FBgn0000061 	AL_DROME
FBgn0000064 	ALF_DROME
FBgn0052076 	ALG10_DROME
FBgn0013746 	CSN2_DROME
FBgn0010215 	CTNA_DROME
FBgn0259170 	MA1A1_DROME
FBgn0011740 	MAN2_DROME
FBgn0030007 	SYFA_DROME
FBgn0250791 	SNAP_DROME
FBgn0250789 	SPTCA_DROME
FBgn0003863 	TRYA_DROME
FBgn0087040 	TBA4_DROME
FBgn0003884 	TBA1_DROME
FBgn0003885 	TBA3_DROME
FBgn0003886 	TBA2_DROME
FBgn0037116 	ALS2_DROME
FBgn0000071 	AMAL_DROME
FBgn0000075 	L2AM_DROME
